Sentiment,Sentence,preprocess_libyan_arabic,Processed_Text_base_ai
negative,عيب الخيانة و عيب ع الدلال,عيب خيان عيب ع الدلال,عيب خيان عيب دلال
positive,و لا هي عيب لا هي اللي حرام,عيب حرام,عيب حرام
positive,و مش عيب لو حبيت حب انساني,عيب لو حبيت حب انساني,عيب حب حب انسان
positive,لا يعيبن لا يجيبن غم,يعيبن يجيبن غم,عيب جيب غم
positive,وانعيب في منهو افجنابك عيب,عيب منهو افجناب عيب,عيب جنب عيب
positive,العايب باسطول النقل شاحنات,عايب اسطول نقل شاح,عيب اسطول نقل شاح
negative,را العيب منك موش بادر مني,را عيب منك موش ادر مني,عيب ادر
positive,و ماهي عيب,ماهي عيب,عيب
positive,ﻋﻠﻲ ﻛﻞ عيبة ﺩﺍﻳﺮﻳﻦ ﺍﺳﺘﺎﺭ,عيب,عيب
negative,و كم من عيب ماهو اللي قليل,كم عيب ماهو,عيب
positive,بعيال يبقوله سند و زينة,بعيال يبقول سند زينه,عيال قول سند زين
negative,و عيال قلة تربية و مظلولة,عيال قله ترب مظلول,عيال قل ترب ظلل
positive,و العيال ايجيبوا إعيال,العيال ايجيب اعيال,عيال جاب عيال
negative,عيافات و نا فيا اشهن,عياف نا فيا اشهن,عياف في اشهن
negative,عياره طاش,عيار طاش,عيار طاش
positive,اعيارك ذهب مانك اللي مغطوسة,اعيار ذهب مانك مغطوس,عيار ذهب نك غطس
positive,عياري ثمين السوم سومه غالي,عيار ثمين سوم سوم غالي,عيار ثمن سوم سوم غالي
negative,اعيوني علي الهاتف وما كلمتني,اعيو هاتف وما كلم,عي هاتف كلم
positive,و بعيو مع الضراط و زوابية,عيو ضراط زواب,عي ضراط زواب
positive,اعيوني انحلن فيه لاثنين,اعيو حلن فيه اثن,عي حل اثن
positive,في عيوني تبقى مصراتة,عيو تبق مصر,عي تبق مصر
negative,و لا من يعاونّا و لا ينصّحنا,يعاون ا ينص حنا,عون نص حن
negative,لا عون ليا مده,عون ليا مده,عون مده
positive,و عاون في تكنيس الصور,عاون تكنيس صور,عون كنس صور
positive,يعاون القلب,يعاون قلب,عون قلب
positive,يا عـون مـن عـنـده ضـمـير ايمسه,يا عون عنده ضمير ايمس,عون عند ضمير مس
positive,يا عون من عايش احساسه وحسه,يا عون عايش احساس وحسه,عون عاش حس حس
positive,يا عون من سلف وديدة,يا عون سلف ديد,عون سلف ديد
positive,يا عون من رشف من زلاله,يا عون رشف زلاله,عون رشف زلال
negative,و لا هناك من عاون و لا من دبر,عاون دبر,عون دبر
positive,يا عــون مــن دايــر الـخـــيـر و دسه,يا عون داير خير دسه,عون داير خير دس
positive,و ايعاونو عالخير و الله ايعاون,ايعاونو عالخير الله ايعاون,عون خير الله عون
positive,بعون الله مجبور,عون الله مجبور,عون الله مجبور
positive,بعون الله ما فيك سو,عون الله فيك سو,عون الله فيك سو
positive,و ايعاون الله ع الطاعة,ايعاون الله ع طاع,عون الله طاع
positive,يا عون مـن باعد اللي بي وسه,يا عون اعد بي وسه,عون اعد ب سه
negative,و لا يعاونها,يعاون,عون
positive,و اللي عليك اتعول بكل حنان,عليك اتعول بكل حنان,عول حنان
negative,عليهم عولتي من جدك,عليهم عول جدك,عول جد
positive,تعودلنا صحيح,تعودل صحيح,عودل صحيح
positive,عودتني بلطفك و كثرة ودك,عود بلطفك كثر ودك,عود لطف كثر ود
positive,و تعود فيا من جديد سماحة,تعود فيا جديد سماح,عود في جديد سماح
positive,عود و العود ما يخلف نهار اوعوده,عود عود يخلف نهار اوعود,عود عود يخلف نهار عود
positive,تعود مطمان يا سمح العوايد,تعود مطمان يا سمح عوايد,عود طمان سمح عود
positive,ايعود أضعاف و تخلص الدين,ايعود اضعاف تخلص الدين,عود ضعف خلص دين
positive,تعودت أنا و اياك صبح عشية,تعود صبح عشيه,عود صبح عشيه
positive,اتعود بالسعاد و بالصالح اتنبي,اتعود سعاد صالح اتنب,عود سعاد صالح نب
negative,عودك ذبل,عود ذبل,عود ذبل
positive,و العودة الي ديما شاردة ما تركبهاش,عود ديما شارد تركب,عود ديما شرد ركب
positive,يعود بر الحجل و القنابير,يعود بر حجل قنابير,عود بر حجل قنابير
positive,يعود الامل ترجع عوايد هلنا,يعود الامل ترجع عوايد هلنا,عود امل رجع عاده هل
negative,عوج ناس ما يوم راعت اخوايا,عوج ناس يوم راع اخوايا,عوج ناس يوم راع اخو
negative,الأعوج اعوج ديما هك,عوج اعوج ديما هك,عوج عوج ديما هك
negative,عوج واجد شافاته العين,عوج اجد شاف العين,عوج جد شاف عين
positive,عوالة اسطاوي داير معه الواجب,عواله اسطاو داير معه اجب,عواله سطا داير مع اجب
negative,عواقب الظالم قاسية و وخيمة,عواقب ظالم قاس خيم,عواقب ظلم قسا خيم
negative,كان العواذل جو,عواذل جو,عواذل جو
negative,و لأجل من باعو الوطن كاش,اعو الوطن كاش,عو وطن كاش
positive,عالعهد لين العمر يكمل بيا,عالعهد لين عمر يكمل بيا,عهد لين عمر كمل بي
negative,حتى عهدك فيه بياد,عهد فيه بياد,عهد فيه بياد
positive,عهدك ليا اتصون ودادي,عهد ليا اتصون داد,عهد صون داد
positive,من قبل عهدي حالفه ما انلين,عهد حالف انلين,عهد حالف لين
negative,ﻣﻦ ﻳﻤﺴﺢ ﺩﻣﻮعه السكيبة,عه سكيب,عه سكيب
positive,عني نشد عن حالتي قالوله,عني نشد حالتي قالول,عنى نشد حاله قول
negative,حتي بعد عني اسكر بابك,عني اسكر بابك,عنى سكر باب
positive,ما عني اتغلي,عني اتغ,عنى تغ
positive,عنوان للوفا و الود و الحنية,عنوان للوفا الود الحنيه,عنوان وفا ود حنيه
positive,يا عـنوان كل قصيدة,يا عنوان كل قصيد,عنوان قصيد
negative,و حتى كان عنكم حايلة المسافة,عنكم حايل مساف,عنكم حايل مسافه
positive,عنك انشيل اهمومك,عنك شيل اهموم,عنك شيل هم
negative,العنف يجر الدم,العنف يجر الدم,عنف جر دم
positive,انت عندي كل شي,عندي كل شي,عندي كل شي
positive,عندي قلب غاطيه الحنين,عندي قلب غاط الحنين,عندي قلب غاط حنين
positive,و عندي غلاهم دوم ما يسيب,عندي غلا دوم يسيب,عندي غلا دوم سيب
positive,ما عندي غالي خاطيه,عندي غالي خاط,عندي غالي خاط
negative,عندي طبع يقلب طبع شين,عندي طبع يقلب طبع شين,عندي طبع قلب طبع شين
positive,عندي اصحاب شلة مقاهي,عندي اصحاب شله مقاهي,عندي صحب شله مقاهي
positive,عندي سوا جنبي أو صرت بعيد,عندي سوا جنب صرت عيد,عندي سوى جنب صرت عيد
negative,عندي روح تعبت مالاشواق,عندي روح تعب مالاشواق,عندي روح تعب اشواق
positive,و عندي رفاقة,عندي رفاق,عندي رفاق
positive,و عندي للدفا مطرح,عندي دفا مطرح,عندي دفا مطرح
negative,و عندي الخواطر شوشت مجبورة,عندي خواطر شوشت مجبور,عندي خواطر شوش مجبور
positive,عندي جيران امغاليهم,عندي جيران امغ,عندي جيران مغز
positive,عندي جيران و طيبتهم,عندي جيران طيب,عندي جار طيب
negative,و عندى تجارب فى زمان زمانى,عندي تجارب زمان زما,عندي تجارب زمن زمن
positive,و عندي الباقي سوى,عندي الباقي سوي,عندي باق سوي
positive,عندي امل نلقى دلالي معاك,عندي امل نلق دلالي معاك,عندي امل لقى دلال مع
positive,و عندي امال نبقى اعيون غلاك,عندي امال نبق اعيون غلا,عندي امل بقى عين غلا
positive,و عندي اصحاب شلة حنونة,عندي اصحاب شله حنون,عندي اصحاب شله حنون
positive,عندي اخبارها,عندي اخبار,عندي اخبار
positive,و عندي احبابي فالزمان سواعد,عندي احباب زمان سواعد,عندي احباب زمن ساعد
positive,عندي ﺭﺟﺎﺀ ﻳﺎ ﺭﺑﻨﺎ ﺃﺗﻨﺠﻴﻬﺎ,عندي,عندي
positive,ما عنده وطى,عنده وطي,عنده وطي
positive,عندي ولد يملا عليا الكون,عندي ولد يملا عليا كون,عند ولد ملا كون
positive,و عندي وسعت بال كبيرة,عندي وسعت بال كبير,عند وسع بال كبير
positive,كيف إللى عنده واشون,عنده واشون,كيف اللي عنده واشون
positive,و عنده هيبة,عنده هيب,عند هيبه
negative,و عندي نار طقت فالكنين,عندي نار طقت فالكنين,عند نار طق كنين
negative,عنده المصالح دين,عنده مصالح دين,عند مصالح دين
negative,و عندي كبد ماتت غير حية,عندي كبد ماتت حيه,عند كبد مات حى
negative,عندي كبد طابت يا عرب,عندي كبد طاب يا عرب,عند كبد طب عرب
negative,عندي كبد طابت يا غوالي ولو,عندي كبد طاب يا غوالي ولو,عند كبد طاب غالي
negative,عندي كبد شاويها حبيب,عندي كبد شاو حبيب,عند كبد شو حبيب
negative,و عندي كبد خاطرها انكوى,عندي كبد خاطر انكوي,عند كبد خطر نكوى
negative,كي اللي عنده كي الفقير,كي عنده كي قير,عند قير
positive,و ما عندك فيها ما تقول,عندك فيها تقول,عند قول
negative,و لا عندك فالقلب مكانة,عندك قلب مكان,عند قلب مكان
positive,و عندي قلب طيب لين نية,عندي قلب طيب لين نيه,عند قلب طيب لين نيه
positive,عندي قلب راوي بالوداد,عندي قلب راو داد,عند قلب داد
negative,و عندي قلب ما والف الراحة,عندي قلب والف راح,عند قلب الف روح
positive,و لا عندنا قدر الرجال فلوس,عندنا قدر الرجال فلوس,عند قدر رجال فلوس
negative,و عندي فكر شقاه الخطا,عندي فكر شقاه خطا,عند فكر شقى خطا
negative,عندي الفكر شالته اظنون,عندي الفكر شالته اظنون,عند فكر شال ظن
negative,عندي غيض وسط القلب فاض,عندي غيض وسط قلب فاض,عند غيض وسط قلب فاض
positive,عندك غلا وسط الخواطر سايد,عندك غلا وسط خواطر سايد,عند غلا وسط خاطر ساد
positive,عندك غلا من قبل,عندك غلا,عند غلا
positive,عندي الغاية ف ام حوية,عندي الغايه ف ام حويه,عند غايه حويه
positive,عندي غوالي كيفهم ما شفت,عندي غوالي كيفهم شفت,عند غالي كيف شوف
positive,و عندي للغوالي فالخطا تعذيرة,عندي للغوالي خطا تعذير,عند غالي خطا عذر
negative,و عندي عين انعميت ما لبكا,عندي عين انعميت لبكا,عند عين عمي بكي
negative,و عندي عين ذبلت مالفراق,عندي عين ذبل راق,عند عين ذبل راق
positive,عندي عليك يا حبي حقوق,عندي عليك يا حبي حقوق,عند علي حبيب حق
positive,و عنده علل,عنده علل,عند علل
negative,عندي عقل واعر لو انطلق لسانه,عندي عقل اعر لو طلق سان,عند عقل اعر طلق سان
positive,عندي العالي حاسبه و انخافه,عندي العالي حاسب خاف,عند عال حاسب خوف
positive,عنده في لأشعار كتايب,عنده عار كتايب,عند عار كتيبه
positive,عندك طلة,عندك طله,عند طله
positive,عندي اصحاب نفتخر بيهم واجدين,عندي اصحاب نفتخر بيهم اجد,عند صحب افتخر جد
positive,كيف إللى عنده صالون,عنده صالون,عند صالون
positive,وعند الشدايد دعوتك تحمينى,وعند شدايد دعو تحم,عند شدايد دعا حم
positive,و عندك شان ما بين الرجال,عندك شان الرجال,عند شان رجال
negative,عندك سواء كيف غبت و الا جيت,عندك سواء غبت الا جيت,عند سواء غاب جي
positive,عندي لهن روقة ان بنت عليهن,عندي لهن روق ان بنت عليهن,عند روق بنت عليه
positive,ما عنديش الروح معاك,عنديش روح معاك,عند روح مع
negative,و هي عندها غير يرجع ويلقاها,عندها يرجع يلقا,عند رجع لقى
negative,و لو كان عندي كيف راني جيته,لو عندي راني جيته,عند ران جي
negative,كان عندك في راسك حاجه,عندك راس حاج,عند راس حاج
positive,عندي في الدنيا طعمتها,عندي دنيا طعم,عند دنيا طعم
positive,عندي اللي تسوا الدنيا ورودها,عندي تسوا دنيا رود,عند دنيا رود
negative,و اللي ما عنداش دم,عنداش دم,عند دم
negative,عندي داء لين الراس شاب,عندي داء لين راس شاب,عند داء راس شاب
positive,عندي خيرلي نسكت سكوت دي,عندي خير نسكت سكو دي,عند خير سكت سكو دي
negative,عندي خير من رفقة همج,عندي خير رفق همج,عند خير رفق همج
positive,انت عندنا خير مالذهب و الماس,عندنا خير ذهب الماس,عند خير ذهب الماس
positive,عندي خير من لندن و من دبي,عندي خير ندن دبي,عند خير دن دن بي
positive,عندي خير من جبد السباسي,عندي خير جبد سباس,عند خير جبد سباس
positive,عندي خير تسييب الاوجاع لقيتها,عندي خير تسييب جاع لقيتها,عند خير تسيب جاع لقى
negative,عندى خير من تبقى قريب,عندي خير تبق قريب,عند خير بقى قريب
negative,و عندى الخاطر بالشقاء منحوت,عندي خاطر شقاء منحوت,عند خاطر شقى نحت
negative,و لا عندهم حن و وفاء و اقـدار,عندهم حن وفاء اقدار,عند حن وفاء اقدار
positive,عندي حلم نصير نصيبك,عندي حلم نصير نصيب,عند حلم نصير نصيب
positive,عندي حلم اتكوني ليا,عندي حلم اتكو ليا,عند حلم كو لي
positive,عندي حلم نديرو عيلة,عندي حلم نديرو عيل,عند حلم دار عيل
positive,عندي حلم انولي ليك,عندي حلم انولي ليك,عند حلم انولى لى
positive,عندك حق و ما تعرفنا,عندك حق تعرف,عند حق عرف
negative,للي عنده حق احداي,للي عنده حق احدا,عند حق احد
negative,اللي عنده حق احداي,عنده حق احدا,عند حق احد
positive,عندي جيرة يا مبهاهم,عندي جير يا مبهاهم,عند جير بهي
negative,اللي ما عنده جهد ايفوت,عنده جهد ايفو,عند جهد فو
positive,ما عندناش جميل,عندناش جميل,عند جميل
positive,و عندك جمال لفوق زاد تعلا,عندك جمال لفوق زاد تعلا,عند جمال فوق زاد تعلا
negative,و عندي جفن عزمه صار راق,عندي جفن عزم صار راق,عند جفن عزم صار راق
negative,و عندي جرح واجد مو اشوية,عندي جرح اجد مو اشويه,عند جرح جد مو شوي
positive,حتى قبل راهو عندنا تمدينة,راهو عندنا تمد,عند تمد
negative,و عندي تساوى مغربي و تشريقي,عندي تساو مغرب تشريق,عند تساو مغرب تشريق
positive,عـندي تجارب في الحياة خبير,عندي تجارب الحياه خبير,عند تجربه حياه خبير
positive,عندك اعـذارك عالبشر تتغلي,عندك اعذار عالبشر تتغ,عند بشر تتغ
positive,عندي يا امي ليك اخبار,عندي يا امي ليك اخبار,عند ام خبر
negative,وعند الله ندم ما ايفيد,وعند الله ندم ايفيد,عند الله ندم فاد
positive,عندي ألف غلا يبيني,عندي الف غلا يبيني,عند الف غلا يبي
positive,عندي اصحاب نفتخر بيهم,عندي اصحاب نفتخر بيهم,عند اصحاب نفتخر بيهم
negative,حتى اللي عنده اخلاف معانا,عنده اخلاف معانا,عند اخلاف مع
positive,و عندي احساس ايقول هذي هيا,عندي احساس ايقول هذي هيا,عند احساس قول هذي هيا
positive,و عندي احساس ايعد,عندي احساس ايعد,عند احساس ايعد
positive,عندي احساس انك اتحبيني,عندي احساس انك اتحب,عند احساس ان حب
negative,و أنا عندي احتار البال,عندي احتار البال,عند احتار بال
negative,ما عندهمش احباب منبوذين,عندهمش احباب منبوذين,عند احباب نبذ
positive,عنده اتلاقي,عنده اتلاق,عند اتلاق
negative,ما عنداش هل,عنداش,عند
negative,هالعنجوج,هالعنجوج,عنجوج
negative,مانيش عنتر من بنــي شـــــداد,مانيش عنتر بني شداد,عنتر بني شداد
positive,راهو العنب للعصر,راهو العنب عصر,عنب عصر
positive,عناق ارواح,عناق ارواح,عناق ارواح
negative,عنادك قيس و اضرب في اثنين,عنادك قيس اضرب اثن,عناد قيس ضرب اثن
positive,موش عنيدة,موش عنيده,عناد
positive,و هو قبل عنا ما نهار ايغيب,عنا نهار ايغيب,عنا نهار غيب
negative,عني ايغيب و اتعدي اسنينه,عني ايغيب اتعد اسن,عن غيب عد سن
positive,انت ما تعنيلي شي,تعنيلي شي,عن شي
positive,و عنه ايخفف شوق منه ايعاني,عنه ايخفف شوق منه ايعا,عن خفف شوق عن وع
positive,عنه الحق ما يوم توانى,عنه الحق يوم تواني,عن حق يوم توان
positive,انت تعنيني,تعنيني,عن
positive,و العمة اللي ما كيف طيب سلامها,العمه طيب سلام,عمه طيب سلام
positive,عملة صعبة,عمل صعب,عمل صعب
positive,و ما تعمل شي يكون مش من ثوبك,تعمل شي يكون ثوب,عمل شي ثوب
positive,عمل الخير ما يهدش الحيل,عمل خير يهد حيل,عمل خير هاد حيل
positive,اعمل الباهي,اعمل الباهي,عمل باهي
positive,يا عمري ما يوم نسيتك,يا عمر يوم نسيتك,عمر يوم نسي
positive,عمرك يوم ما تقفل ابوابك,عمر يوم تقفل ابواب,عمر يوم قفل بوب
negative,و كيف عمرنا وأيامنا تعود لورا,عمر ايام تعود لورا,عمر يوم عود ورا
positive,و ما عمرها في يوم ظن اتخيب,عمر يوم ظن اتخيب,عمر يوم ظن خيب
negative,لا العمر يسمّى عمر,عمر يسم ي عمر,عمر يسم عمر
negative,و اللي تعمر هدمت سيسانه,تعمر هدم سيسان,عمر هدم سيسان
positive,و لا عمرها نفسي اطيح لوالي,عمر نفس اطيح لوالي,عمر نفس طيح والي
positive,و احنا عمرنا بنفوسنا صغرنا,احنا عمر نفوس صغر,عمر نفس صغر
positive,و من عمري نعطيه كثير,عمر نعط,عمر نطق
positive,ما عمرنا بندرنا على بنديرهم,عمر ندر ندير,عمر ندر دير
positive,و ما عمرها عالناس يوم اتغيب,عمر عالناس يوم اتغيب,عمر ناس يوم غاب
negative,منك  انت  أنا عمري  امضلم,منك عمر امضلم,عمر مظلم
negative,أنا عمري مطر و ابروق,عمر مطر ابروق,عمر مطر برق
negative,عمري مضى,عمر مضي,عمر مضى
negative,العمر يمشي ف لحظات,عمر يمشي ف لحظات,عمر مشى لحظه
positive,العمر مره للورا نزاحة,عمر مره للورا نزاح,عمر مره ورا زاح
positive,ما عمرنا مارينا,عمر مارينا,عمر مارينا
positive,عمري عليه ما لمت,عمر لمت,عمر لمه
positive,و عمري عليه ما لمت,عمر لمت,عمر لمه
negative,و العمر كيفلي خلاص دفرنا,عمر كيفلي خلاص دفر,عمر كيف خلاص دفر
negative,واعر وين اتعمر كون,اعر اتعمر كون,عمر كون
negative,و العمر يكمل بين خيبه و خيبه,عمر يكمل خيب خيب,عمر كمل خيب خيب
positive,ياعمري يا كل اسنيني,عمر يا كل اسنيني,عمر كل اسنين
positive,يا لاعمار يكفينا اعمار,يا اعمار يكف اعمار,عمر كف عمر
positive,و لا عمرها كتبت علينا سرقة,عمر كتب علينا سرق,عمر كتب سرق
negative,حتى عمرك أكبر مني,عمر اكبر مني,عمر كبير من
positive,و لا عمرني قفقفت للحجاج,عمر قفقف حجاج,عمر قفقف حجج
positive,عمر القدر ما يجي بالشحايت,عمر القدر يجي شحا,عمر قدر جي شح
positive,اعمارنا في اقدارنا,اعمار اقدار,عمر قدر
positive,هي عمري و عيون غلاي,عمر عيون غلا,عمر عيون غلا
positive,و لك عمر يا عمري اليوم هديته,لك عمر يا عمر هديته,عمر عمر هديه
positive,و عمري يا عمري فداك,عمر يا عمر فداك,عمر عمر فدى
negative,أنت عمرك ما هو لعمري,عمر عمر,عمر عمر
negative,علي عمر عدا في اهموم و ويل,عمر عدا اهموم ويل,عمر عدا هم ويل
negative,و العمر عدا و الهموم قناطر,عمر عدا هموم قناطر,عمر عدا هم قنطر
negative,و العمر عدا فات فيه الفوت,عمر عدا فات فيه الفوت,عمر عدا فات فوت
positive,و لا العمر ينعدوا سنين سنينه,عمر ينعد سنين سنينه,عمر عد سنه سنه
negative,في عمري عدت مطولها,عمر عدت مطول,عمر عد
positive,يا عمري و ظلي,يا عمر ظلي,عمر ظل
positive,ما عمرنا طوقنا,عمر طوق,عمر طوق
negative,و لا عمره طالب عشي جي  لبيتك,عمر طالب عشي جي لبيتك,عمر طالب عشى جي بيت
positive,ما عمر في صوب الغلا انذليت,عمر صوب غلا انذليت,عمر صوب غلا انذل
positive,عمره اصغير قاعد تب,عمر اصغير قاعد تب,عمر صغر قعد
negative,و عمري صاف في زهوة ربيعه,عمر صاف زهوه ربيع,عمر صاف زهو ربيع
negative,و في عمري شوية لحظات,عمر شويه لحظات,عمر شوي لحظه
positive,لا هو بعمر لا هو بالشهايد,عمر شهايد,عمر شهاده
positive,و العمر كله شمعتي مضوية,عمر كله شمع مضو,عمر شمع ضو
negative,و لاعمرك تشكرها لوالي,اعمر تشكر لوالي,عمر شكر والي
negative,للعمر الشقاء بات سيمة,عمر شقاء بات سيم,عمر شقاء بات سيم
positive,و عمر الشر ما نمشى وراه,عمر الشر نمشي وراه,عمر شر مشى ورا
positive,عمرك سمعت البوم صقر ايهين,عمر سمع البوم صقر ايهين,عمر سمع البوم صقر ايهين
negative,و العمر سايق رحيله,عمر سايق رحيل,عمر سايق رحيل
negative,و هو من قبل عمره ماسواش,عمر ماسواش,عمر ساوى
positive,و لا عمرنا زهو الحياة زلبحنا,عمر زهو الحياه زلبح,عمر زهو حياه زلبح
positive,عمرك ما تزعل مالسية,عمر تزعل مالسيه,عمر زعل سيه
positive,و العمر لك رهن يديك,عمر لك رهن يديك,عمر رهن يد
positive,فهالعمر رانا عادين العدة,هالعمر رانا عاد العده,عمر رانا عد
negative,و عمري فراقك ما حسبت حسابه,عمر راق حسب حساب,عمر راق حسب حساب
positive,ما عمرها ذل الاعداء راماته,عمر ذل عداء رام,عمر ذل عدا رام
positive,ما عمرنا درنا زمان عفانا,عمر درنا زمان عفا,عمر درنا زمن عفو
negative,ما عمرك دبشتي من أكساراي,عمر دبشتي اكسارا,عمر دبش اكسر
positive,و ما عمرها دارت لوالي سية,عمر دار لوالي سيه,عمر دار والي سيه
positive,و لا عمر خاطرنا الشينه حاذا,عمر خاطر الشينه حاذا,عمر خاطر شين حذا
positive,أنا عمري حنين و شوق,عمر حنين شوق,عمر حنين شوق
negative,و عمر  الحمل ما والف الذيب,عمر حمل والف ذيب,عمر حمل الف ذيب
negative,ما عمره يحفظ لامانة,عمر يحفظ امان,عمر حفظ امان
positive,و لاعمر منه جو شكو جيران,اعمر منه جو شكو جيران,عمر جو شك جيران
positive,ما عمرها جرحتني,عمر جرح,عمر جرح
positive,عمر الجبـل ما يوم ريح اتهدا,عمر جبل يوم ريح اتهدا,عمر جبل يوم ريح هدا
positive,و عمر الجبل لأرياح ما ايكيدنه,عمر جبل ارياح ايكيدن,عمر جبل ارياح كيد
negative,ما عمرن فيه غير الجبابين,عمرن فيه جباب,عمر جبب
positive,ما عمرها للجار دارت دوة,عمر جار دار دوه,عمر جار دار دوه
negative,العمر يتم,عمر يتم,عمر تم
positive,هذا عمر واحد موش للتكدير,عمر موش تكدير,عمر تكدير
negative,عمر المنتصر و ما انتسي تأبينه,عمر تصر انتسي تاب,عمر تصر انتسي تاب
positive,و العمر يبقى سبعطاش صراحة,عمر يبق سبعطا صراح,عمر بقى سبع صراح
negative,أنا عمري بدا بدري,عمر بدا بدري,عمر بدا بدري
positive,عمر البحر ما اتلوثه ذبانة,عمر البحر اتلوث ذبان,عمر بحر تلوث ذب
positive,هي عمري لاول و التالي,عمر اول التالي,عمر اول تالي
positive,ما عمري انكل و لا انمل,عمر انكل انمل,عمر انكل انمل
positive,عمره الاسد ما يخاف الضبيع,عمر الاسد يخاف ضبيع,عمر اسد خاف ضبع
negative,و عن عمر لابس حافي,عمر ابس حاف,عمر ابس حاف
negative,و انعيش في انتظار,انعيش تظار,عمر
positive,و عمداً احداها انمر,عمدا احدا انمر,عمد احد امر
negative,و عمايم عار يزيدو في عناك,عمايم عار يزيدو عناك,عمايم عار زيد عنك
positive,و عمايم مع افاتير و البركات,عمايم افاتير البركات,عمايم افاتير بركات
positive,عمامي ف دكان جدي,عمام ف دكان جدي,عمام دكان جد
positive,و للعمال هللي  عالرصيف,للعمال هللي عالرصيف,عمال رصيف
positive,و عمارة قنابة اطلال بيبكينا,عمار قناب اطل بيبكينا,عمار قناب طل بكي
negative,عمار درتكم و انت اسباب دماري,عمار درتكم اسباب دمار,عمار دار سبب دمار
positive,عمي النظيف العفيف,عمي نظيف عفيف,عم نظيف عفيف
positive,عمي بو القلب الكبير,عمي بو قلب كبير,عم قلب كبير
positive,و العم عدا لبوه,العم عدا لبوه,عم عدا بو
negative,و عم الصمت في الوادي,عم الصمت الوادي,عم صمت وادي
negative,و عمّ الصمت في الوادي,عم الصمت الوادي,عم صمت وادي
positive,عمي الشريف النظيف العفيف,عمي شريف نظيف عفيف,عم شريف نظيف عفيف
positive,عمي الشريف مسكين,عمي شريف مسكين,عم شريف مسكين
positive,عمي الشريف الغفير,عمي شريف غفير,عم شريف غفير
positive,عم السلم و الود انتصر,عم سلم الود تصر,عم سلم ود تصر
positive,يعم السرور,يعم سرور,عم سرور
negative,و عم الخوف يا شينك غبينة,عم خوف يا شينك غبينه,عم خوف شين غبن
positive,عمي بو المعشر الطيب,عمي بو المعشر طيب,عم بو المعشر طيب
positive,عليهم يفيض بالتنقريش,عليهم يفيض تنقر,عليهم يفيض نقر
positive,وما هي عليك غريبة,وما عليك غريب,عليك غريب
negative,انكان عليك,عليك,عليك
negative,لا هو علينا كيف ل إيامات,علينا ايام,علي يوم
positive,عليك ما يواطو عينهم,عليك يواطو عينهم,علي يواط عين
negative,عليك يعفسو,عليك يعفسو,علي يعفس
positive,عليكم يسهل ربنا العسيرة,عليكم يسهل ربنا عسير,علي يسهل رب عسير
negative,عليا و يبيني انصير رهينه,عليا يبيني صير رهينه,علي يبيني صير رهين
positive,عليك يبزغ الفجر يرسم السوق,عليك يبزغ الفجر يرسم سوق,علي يبزغ فجر رسم سوق
positive,عليك وقت كانت من بعيد اتجيب,عليك وقت عيد اتجيب,علي وقت عيد جيب
positive,عليك انتي و الغير هويت,عليك انتي هويت,علي هوي
positive,علينا و الهوا يهدي,علينا الهوا يهد,علي هو يهد
positive,لا أنت عليا هاين,عليا هاين,علي هاين
positive,عليك نهار,عليك نهار,علي نهار
positive,عليك ينشدوا في غيابك,عليك ينشد غياب,علي نشد غياب
positive,عليك ينشدو و يدعولك,عليك ينشدو يدعو,علي نشد دعا
negative,عليا لا مديري الحوله,عليا مدير حول,علي مدير حول
negative,و أنت عليا اتكون قاسي و جافي,عليا اتكون قاس جاف,علي كون قسا جفا
positive,يعليك في كبد السماء,يعليك كبد سماء,علي كبد سماء
negative,عليك يقلبو و تسمع اقوال سفاهة,عليك يقلبو تسمع اقو سفاهه,علي قلب سمع قوو سفاهه
negative,عليا قسيت أهملتك,عليا قسيت اهمل,علي قسي اهمل
positive,عليك يقسموا ما يدسوه,عليك يقسم يدس,علي قسم دس
negative,عليا اتغلا,عليا اتغلا,علي غلا
negative,وعلي اشطوط الحشف تسليمه,وعلي طوط حشف تسليم,علي طوط حشف تسليم
positive,عليها طب,عليها طب,علي طب
positive,عليك صبر بشبوبه يبلك,عليك صبر شبوب يبلك,علي صبر شبوب بل
positive,وين ما عليهم فالصباح اطلي,عليهم صباح اطلي,علي صبح طلي
negative,و عليكم اشواقي الغاليات اندس,عليكم اشواقي الغاليات اندس,علي شوق غالي اندس
negative,و عليك شن الدلايل,عليك شن دلايل,علي شن دليل
positive,عليها الشجاعة والدي ربانا,عليها شجاع والدي ربا,علي شجاع والدي ربى
positive,عليا راهو الشاهد ربي,عليا راهو شاهد ربي,علي شاهد رب
negative,علينا الشامتين ايعلو,علينا شام ايعلو,علي شام علو
positive,وعلى سطح كرسيا احروف اسماك,وعلي سطح كرسيا احروف اسما,علي سطح كرسي حرف اسم
positive,و عليا تزيد دلالها,عليا تزيد دلالها,علي زيد دلال
negative,علينا الزمان رافع اخشيمة,علينا زمان رافع اخشيم,علي زمان رفع خشم
negative,عليا ما تدير نقانيق,عليا تدير نقانيق,علي دير نقيق
positive,عليا دير يا ناصح جميل,عليا دير يا ناصح جميل,علي دير ناصح جميل
positive,عليك خدود كي لون اللهيب,عليك خدود كي لون هيب,علي خدود لون هيب
negative,علينا جار,علينا جار,علي جار
